0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,0,0
0,0,2640,0,0,0,7,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1
0,0,0,1420,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,168,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
0,0,13,2,0,0,53,11,0,0,3,0,0,0,0,0,0,0,0,0,11,35,1,0,1
0,0,0,1,0,0,2,157,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1
0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,82,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0
0,0,1,0,0,0,1,0,0,0,339,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,2,0,0,0,0,0,0,384,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,3,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,23,0,0,0,0,2,44,0,0,0,0,0,0,0,96,0,0,0
0,0,0,0,0,0,75,0,0,0,0,0,0,0,33,0,0,0,0,0,0,1,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,4,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,16,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,94,17,0,0,0
0,0,0,0,0,0,22,4,0,0,2,0,0,0,0,0,0,0,0,0,76,14,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,319,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,73,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720
